sentence_id,sentence,true_label,predicted_label_tfidf,predicted_label_embedding
1981,"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral,neutral,neutral
3105,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,neutral,neutral
5777,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,positive,positive
1001,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,neutral,neutral
2907,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral,neutral,neutral
5535,Johnson Matthey raises prospect of investor payout,positive,negative,positive
542,BAE Systems's sales boosted by European Typhoon and currencies,positive,positive,positive
880,The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral,neutral,neutral
2299,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral,negative,neutral
149,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,positive,positive
3010,"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral,neutral,neutral
581,The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,neutral,positive
3900,Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral,neutral,neutral
3099,AB InBev attacks SABMiller bid rebuffal,negative,positive,negative
44,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,neutral,positive
2575,The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .,neutral,neutral,positive
4973,Alma Media expects its net sales to increase as forecast previously .,positive,positive,positive
4021,"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",neutral,neutral,neutral
2204,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,neutral,neutral
2516,The employee negotiations are to address measures needed to adjust the operations to the present production situation .,neutral,neutral,neutral
1231,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,neutral,neutral
2694,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,neutral,neutral
89,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,positive,positive
1405,"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral,neutral,positive
37,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,negative,negative
5521,$NVDA sideways,neutral,neutral,positive
1013,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,positive,positive
2354,Each share is entitled to one vote .,neutral,neutral,neutral
3070,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",neutral,positive,neutral
4226,The value of the confirmed aircraft orders totals EUR 2bn .,neutral,neutral,positive
3508,Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,neutral,neutral
3594,Severn Trent share price rises as first half profit inches up as customer ...,positive,negative,positive
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,positive,neutral
1105,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral,positive,positive
1941,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive,neutral,positive
3705,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,neutral,neutral
3364,"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,neutral,neutral
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,neutral,neutral
416,The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,neutral,neutral,neutral
2906,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,positive,neutral
3716,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral,neutral,neutral
4976,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive,positive,negative
3554,"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",neutral,neutral,neutral
2267,The company website is www.ahlstrom.com .,neutral,neutral,neutral
1600,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,neutral,negative,negative
5656,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,neutral,neutral
318,The corrected chapter is in its entirety below .,neutral,neutral,neutral
716,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,neutral,neutral
5169,"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",neutral,neutral,neutral
3230,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,neutral,positive,positive
1677,"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",neutral,neutral,neutral
5506,Cargo volume increased by approximately 5 % .,positive,positive,positive
208,HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,neutral,neutral
1871,"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",neutral,negative,negative
1585,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive,positive,positive
4386,Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral,neutral,neutral
1975,Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .,neutral,neutral,positive
91,Tesco share price down as grocer faces SFO investigation outcome,negative,negative,negative
1242,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,positive
3436,Kingfisher share price slides on cost to implement new strategy,negative,positive,positive
1547,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,neutral,neutral
107,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,neutral,neutral
1542,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral,positive,neutral
906,"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive,positive,positive
807,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,neutral,positive
1664,Finnair was able to operate most of its leisure flights despite the strike .,positive,neutral,neutral
5815,The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .,positive,neutral,positive
1784,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral,neutral,neutral
4837,This organization will assume the responsibility for operations in Russia .,neutral,neutral,neutral
1062,RBI surprises Street; Sensex pares gains after hitting mount 30k,negative,negative,negative
4057,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,negative,negative,negative
4440,"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",positive,positive,positive
2102,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative,negative,negative
4914,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,positive
1137,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral
4590,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",neutral,negative,negative
3640,Pertti Ervi is independent from the Company and its major shareholders .,neutral,neutral,neutral
1647,"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,neutral,neutral
5408,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,positive
550,$AAPL Dips being bought up real quick. Higher lows fo sho,positive,positive,positive
4280,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral,neutral,neutral
973,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,positive,neutral,positive
1381,Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,neutral,neutral,neutral
359,"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",neutral,neutral,neutral
5120,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,positive,positive
1037,Net loss in the same period in 2009 was euro18 .6 million .,neutral,positive,neutral
556,Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,positive,positive,positive
1841,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,neutral,neutral
5387,"HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries .",neutral,neutral,neutral
4071,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",neutral,neutral,neutral
2365,The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,neutral,neutral,neutral
1485,"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .",neutral,neutral,neutral
3732,Net cash flow from operations is expected to remain positive .,positive,positive,positive
719,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,neutral,positive
3163,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,negative,positive,neutral
1780,The value of the order is about EUR 30mn .,neutral,neutral,neutral
887,"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral,neutral,neutral
4871,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,positive,positive,positive
5424,"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",neutral,neutral,neutral
3496,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,positive,positive,positive
1798,"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,neutral,neutral
5742,The expansion will be delivered in the fourth quarter of 2006 .,neutral,neutral,positive
3960,"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",positive,positive,positive
4497,Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,neutral,neutral,positive
4361,The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,neutral,neutral,neutral
1274,"Body The credit falls due February 24 , 2014 .",neutral,neutral,neutral
2954,The contract includes heating plant equipment and associated installation work .,neutral,neutral,neutral
171,The solution will now be expanded to include all ground staff tasks .,neutral,neutral,neutral
2366,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,negative,positive
4660,OP-Pohjola Group 's capital adequacy ratio under the Act on Credit Institutions stood at 12.1 % and Tier 1 ratio at 12.1 % .,neutral,neutral,neutral
3583,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",neutral,negative,negative
3835,"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",neutral,neutral,neutral
1402,"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",neutral,negative,negative
583,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral,neutral,neutral
5818,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,positive,positive,positive
2602,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,neutral,positive
2015,"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,neutral,neutral
2788,"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,negative,negative
2300,"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",neutral,neutral,negative
5300,I see a 20 percent upside in $FB shares from here,positive,positive,positive
754,Odell has not contacted the State of Finland in this issue .,neutral,neutral,neutral
2493,Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive,positive,neutral
1355,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,positive,neutral,positive
2421,"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,neutral,neutral
4358,"The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .",neutral,neutral,neutral
4317,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,neutral,neutral
3173,The site will cover over six hectares .,neutral,neutral,neutral
5270,VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,neutral,neutral
4360,"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral,neutral,neutral
2776,"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,positive,negative
5311,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",positive,neutral,positive
234,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",neutral,negative,negative
4541,The talks are aimed at restructuring operations and cutting costs .,positive,neutral,neutral
520,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral,neutral,neutral
1294,The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,neutral,neutral
2346,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,positive,negative,negative
2247,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative,negative,negative
